account_id,flag_type,flag_date,reason
248,Multiple Locations,2024-04-23,Hotel several around sure.
231,Multiple Locations,2024-07-05,Imagine newspaper left low these.
111,High Frequency,2023-11-18,Thing everything million enjoy information eight.
254,High Frequency,2024-07-11,Official character produce develop time show chair.
73,High Frequency,2023-11-05,Together product parent.
138,High Frequency,2024-09-15,South above walk authority several magazine section amount.
99,Unusual Spending,2024-08-01,Its traditional Mrs type hold general perhaps.
230,High Frequency,2025-04-19,Decide stage wrong yeah drug perhaps.
185,Multiple Locations,2024-09-16,Loss per other father.
4,Multiple Locations,2023-10-11,Door west purpose stand garden detail nearly.
139,Multiple Locations,2024-12-07,Court step seven them already bill investment structure.
98,Multiple Locations,2025-01-28,Truth go bar player quality might throw.
136,Unusual Spending,2024-08-10,Theory appear city strategy.
273,Multiple Locations,2025-03-20,Reveal partner door although thought.
42,Multiple Locations,2025-06-16,Environment hard population job your rise now.
27,Multiple Locations,2024-01-30,Adult be who market would.
20,High Frequency,2024-12-20,Remember trouble major hard field.
175,High Frequency,2023-10-12,Page support less this appear who character.
54,Unusual Spending,2025-01-28,Leg partner machine pattern him early.
53,Unusual Spending,2024-03-08,Within water author cut.
126,Unusual Spending,2025-05-10,Test air need travel.
36,Multiple Locations,2024-07-10,Finish month wife life data quite.
261,Unusual Spending,2024-05-06,House describe clear check whose into.
290,High Frequency,2023-12-06,Forget sort remember else gas.
287,High Frequency,2025-04-03,Player specific less everything.
150,High Frequency,2025-03-18,Generation dark people physical language positive.
135,Multiple Locations,2024-12-20,Produce bed thousand military.
103,Multiple Locations,2024-01-16,Collection whole particular store conference quality rule purpose.
237,Unusual Spending,2024-08-14,Move will focus here agent talk.
257,Unusual Spending,2023-08-13,I from various human.
